#{"t_start": 1729549721.708162, "env_id": "None"}
r,l,t
0.2496,4,39.130268
-0.299755,3,39.193459
0.70057,6,39.261656
-0.5,1,39.322763
0.352135,4,39.38896
-0.222305,2,39.4515
0.359422,4,39.516968
0.155199,3,39.582414
0.718743,5,39.648404
-0.224456,3,39.712908
0.193805,5,39.779767
-0.285044,3,39.843724
0.231787,4,39.909706
0.39452,4,39.974508
0.164617,3,40.040979
-0.5,1,40.101307
-0.08155,3,40.167403
0.39219,4,40.233481
0.815262,5,40.299551
-0.209036,2,40.361476
0.411295,5,40.428813
-0.5,1,40.490662
0.776895,6,41.135926
0.427559,4,41.209389
0.996364,6,41.282805
0.638848,6,41.35418
0.084162,3,41.419054
0.869417,6,41.48748
-0.5,1,41.549661
0.95097,5,41.618196
-0.218717,2,41.681635
-0.514246,2,41.746232
0.803256,5,41.814164
0.024497,3,41.879786
0.681237,7,41.951191
-0.5,1,42.014338
0.133546,3,42.080239
0.542058,4,42.146504
0.098187,3,42.212569
1.05817,8,42.284854
-0.5,1,42.347619
0.128478,3,42.413246
0.171244,5,42.481871
1.282919,8,42.554952
1.864294,10,42.629749
0.223966,5,42.697595
0.859675,6,42.768488
-0.307834,2,42.832488
0.06469,3,42.897581
0.042862,4,42.964274
0.290122,4,43.030523
-0.5,1,43.092042
-0.5,1,43.154191
1.038717,6,43.223671
0.46091,4,43.291877
-0.186215,2,43.354721
0.049295,3,43.419601
0.065307,3,43.488617
0.196026,4,43.558573
0.085735,4,43.62789
-0.5,1,43.690087
0.176143,9,43.763672
-0.336911,3,43.829243
-0.047828,3,43.894228
-0.5,1,43.956549
0.557217,6,44.027186
-0.181946,2,44.09158
0.119495,3,44.16081
0.019015,4,44.229708
0.112443,3,44.294652
0.876467,6,44.363518
0.85661,6,44.434076
0.223587,3,44.499156
0.127729,4,44.565999
0.695034,6,44.636742
0.049437,3,44.702864
0.226993,4,44.769778
0.48519,5,44.837511
-0.052516,3,44.902028
-0.341118,2,44.967163
-0.064953,6,45.037227
0.870259,5,45.106125
-0.371255,3,45.17262
-0.231636,2,45.236494
-0.208345,2,45.300587
-0.072697,3,45.366002
1.195095,7,45.437717
0.189534,4,45.504021
0.194618,3,45.570458
0.113768,5,45.641418
-0.194941,2,45.706625
-0.010464,3,45.77237
-0.5,1,45.836487
-0.152678,3,45.90113
0.12389,4,45.968017
-0.248681,2,46.031747
3.515345,14,46.12045
-0.241504,2,46.187825
-0.250641,4,46.2595
0.460854,6,46.329613
0.503031,4,46.396621
-0.039739,3,46.462723
-0.128103,3,46.528592
1.023651,6,46.600117
0.438252,5,46.668355
-0.081791,4,46.735521
0.466736,6,46.808353
0.905567,6,46.8786
0.108403,3,46.944082
0.09379,3,47.008651
0.945491,6,47.077122
0.893565,7,47.149114
0.956656,6,47.218853
-0.5,1,47.28088
0.6395,6,47.351492
1.097135,8,47.425454
-0.34388,3,47.491006
-0.5,1,47.5542
0.071095,3,47.618521
0.329853,4,47.684773
0.42204,5,47.752444
1.269053,8,47.824779
-0.137016,2,47.887879
1.828477,10,47.963063
0.443931,5,48.030619
0.845523,6,48.101005
0.162393,4,48.167293
-0.242853,2,48.230488
0.511503,5,48.298282
0.896495,6,48.367894
0.011938,3,48.432695
0.428318,4,48.499239
0.171196,3,48.564161
0.064701,4,48.629748
-0.520255,2,48.692849
0.030659,3,48.75725
-0.018456,3,48.822457
0.683767,6,48.891479
1.817682,8,48.962485
0.362922,4,49.028882
-0.5,1,49.09054
-0.028998,3,49.154476
0.821183,7,49.225309
0.194048,4,49.291192
-0.092815,3,49.35611
-0.177015,2,49.419062
0.280861,4,49.484575
0.152957,6,49.555139
-0.130766,3,49.62086
0.671577,5,49.688475
0.308028,5,49.756292
-0.034721,3,49.819811
-0.5,1,49.880817
1.028873,9,49.953926
-0.5,1,50.015889
-0.174572,2,50.077737
1.449177,9,50.150283
0.095292,4,50.216454
1.285587,6,50.285406
0.843695,6,50.35417
-0.263031,3,50.41756
0.036433,3,50.480898
0.917586,6,50.548716
-0.5,1,50.60966
1.61553,7,50.679083
-0.5,1,50.740162
-0.5,1,50.799831
-0.5,1,50.861179
-0.5,1,50.922074
0.992502,7,50.991169
0.342978,4,51.057902
-0.175856,2,51.120026
0.301542,4,51.185122
-0.280075,2,51.248023
-0.103145,3,51.312476
0.322395,10,51.391734
0.148929,3,51.463951
-0.5,1,51.532937
-0.183793,3,51.597262
1.285138,6,51.666332
-0.5,1,51.72695
-0.189856,2,51.790363
-0.5,1,51.851882
0.642475,5,51.918351
-0.5,1,51.980473
0.394672,4,52.049789
0.240685,4,52.118784
0.032641,3,52.183177
0.448676,5,52.254571
0.132937,3,52.320631
-0.5,1,52.382775
0.672213,5,52.44997
1.524901,8,52.52183
-0.5,1,52.583063
0.440154,4,52.648755
0.008193,3,52.711835
-0.273962,2,52.773812
-0.222265,2,52.835684
-0.5,1,52.896305
0.152544,3,52.96
1.527089,8,53.031283
-0.170275,3,53.095767
0.800187,6,53.165917
-0.5,1,53.22709
-0.357449,2,53.290977
