#{"t_start": 1729553081.504801, "env_id": "None"}
r,l,t
0.745006,5,25.47391
1.381609,7,25.55481
-0.180891,2,25.621107
-0.156695,2,25.685609
-0.5,1,25.751827
-0.5,1,25.820635
-0.173446,2,25.887458
-0.5,1,25.950227
0.038628,3,26.021968
0.788206,5,26.103866
-0.16208,2,26.17653
-0.5,1,26.24184
-0.5,1,26.309255
-0.5,1,26.38015
-0.5,1,26.444858
3.078649,12,26.533235
-0.5,1,26.601597
-0.162294,2,26.675069
-0.5,1,26.740562
-0.5,1,26.803757
-0.190594,2,26.874838
-0.187976,2,26.944904
-0.1583,2,27.013754
0.772433,5,27.085505
0.12922,3,27.156556
-0.173451,2,27.229367
-0.5,1,27.295562
-0.176871,2,27.359971
0.173483,3,27.429656
0.170031,3,27.499251
1.193626,6,27.57442
-0.5,1,27.638481
-0.184891,2,27.707171
-0.173811,2,27.775483
-0.5,1,27.848024
-0.5,1,27.911904
0.163785,3,27.979041
-0.5,1,28.045737
-0.5,1,28.109569
-0.5,1,28.174991
1.398144,7,28.252147
0.543792,4,28.325386
0.15443,3,28.398571
0.183633,3,28.469259
-0.179921,2,28.535298
0.19803,3,28.601256
-0.5,1,28.664959
0.942945,5,28.740411
-0.001368,3,28.808685
0.542401,4,28.879354
-0.184882,2,28.945141
0.728392,5,29.017741
-0.5,1,29.080743
1.594124,7,29.154716
0.129258,3,29.221237
-0.5,1,29.282031
-0.152304,2,29.347744
-0.180324,2,29.412757
-0.190156,2,29.476455
0.110493,3,29.542004
0.705126,5,29.612542
-0.217991,2,29.676568
0.164736,3,29.742092
-0.5,1,29.803453
-0.5,1,29.864835
-0.166942,2,29.928445
-0.5,1,29.989257
-0.17397,2,30.05456
-0.213317,2,30.118664
-0.193971,2,30.181957
0.856873,5,30.252393
-0.210657,2,30.316472
0.137667,3,30.381285
-0.5,1,30.442281
0.863864,5,30.511266
-0.162588,2,30.576295
-0.204308,2,30.640471
-0.177933,2,30.704414
0.12342,3,30.772019
0.154249,3,30.84211
0.085744,3,30.91504
-0.168826,2,30.98517
0.702302,5,31.057998
0.183461,3,31.124614
-0.5,1,31.185624
-0.5,1,31.247125
0.16163,3,31.31475
-0.5,1,31.37783
0.758393,5,31.449005
-0.5,1,31.511575
1.175543,6,31.583773
-0.5,1,31.64607
-0.162618,2,31.709326
-0.190044,2,31.774363
0.197629,3,31.841842
-0.5,1,31.903007
-0.5,1,31.96512
-0.5,1,32.026429
-0.5,1,32.087863
-0.5,1,32.148612
0.485098,4,32.216105
-0.159715,2,32.279266
-0.5,1,32.340803
-0.5,1,32.402124
-0.168709,2,32.466218
-0.021418,3,32.53696
-0.5,1,32.600894
-0.5,1,32.663749
-0.5,1,32.726485
-0.5,1,32.789089
-0.5,1,32.859663
-0.214198,2,32.932971
-0.5,1,33.002338
0.523516,4,33.072883
-0.5,1,33.136056
-0.5,1,33.197626
-0.164197,2,33.261773
0.338573,4,33.331909
0.416022,4,33.401125
-0.5,1,33.469405
0.793952,5,33.545256
0.49149,4,33.620876
-0.5,1,33.683061
-0.189351,2,33.747347
1.078708,6,33.819424
0.143932,3,33.886806
