#{"t_start": 1729361209.829303, "env_id": "None"}
r,l,t
1.264727,6,32.818851
1.139983,6,34.132392
-0.5,1,34.20456
-0.193971,2,34.285999
-0.5,1,34.359201
0.076861,3,34.438712
0.458153,4,34.51997
0.479171,4,34.60099
-0.15735,2,34.678073
-0.162588,2,34.749434
2.24023,10,34.844601
0.801332,5,34.924672
0.12342,3,34.996917
0.154249,3,35.066863
1.285885,7,35.14795
0.497506,4,35.220575
0.100381,3,35.291665
0.87336,5,35.36698
-0.5,1,35.429852
0.038317,3,35.501202
0.16163,3,35.573051
-0.195174,2,35.642565
-0.5,1,35.707339
-0.199112,2,35.776092
-0.5,1,35.84461
-0.5,1,35.910287
-0.162618,2,35.979363
-0.190044,2,36.048773
-0.5,1,36.11588
-0.146574,2,36.183113
1.498794,7,36.266373
1.088145,6,36.346546
-0.5,1,36.41204
0.476657,4,36.485809
0.158533,3,36.555805
0.521823,4,36.630522
-0.5,1,36.697317
1.763593,9,36.785699
-0.168709,2,36.85331
0.73067,5,36.929568
0.77685,5,37.005251
-0.5,1,37.069812
-0.164699,2,37.138356
0.396503,4,37.213829
0.110723,3,37.285446
0.073334,3,37.355891
1.786222,8,37.441424
-0.156229,2,37.509993
-0.5,1,37.575705
0.100175,3,37.646019
-0.164197,2,37.712742
0.449585,4,37.789873
1.352668,7,37.875445
-0.5,1,37.942674
-0.5,1,38.008358
-0.170055,2,38.076014
0.54118,4,38.149824
-0.189351,2,38.218685
0.760024,5,38.29385
-0.5,1,38.358416
-0.200069,2,38.426081
1.368442,7,38.508983
0.742002,5,38.585687
-0.5,1,38.649147
-0.14606,2,38.71719
-0.142645,2,38.784324
0.887417,5,38.860711
-0.5,1,38.924073
-0.5,1,38.990021
-0.5,1,39.054291
0.545936,5,39.134756
-0.221,3,39.206099
-0.5,1,39.269218
-0.5,1,39.334005
-0.5,1,39.398487
-0.5,1,39.463653
-0.5,1,39.528501
0.526161,4,39.602676
-0.163454,2,39.669578
-0.5,1,39.734674
-0.17123,2,39.801853
0.0259,4,39.877369
3.218497,12,39.974275
2.753899,13,40.081555
0.473851,4,40.155352
-0.177652,2,40.222693
0.135565,3,40.294934
0.199128,3,40.3666
1.205954,6,40.4464
-0.1752,2,40.513604
-0.5,1,40.57892
0.790156,5,40.655235
0.79431,5,40.732421
-0.155896,2,40.798341
0.114771,3,40.869371
-0.5,1,40.934706
-0.5,1,41.005624
1.451296,7,41.09096
-0.5,1,41.158132
-0.17335,2,41.226663
-0.5,1,41.293923
4.180129,15,41.405801
0.459852,4,41.481524
-0.5,1,41.547667
4.205734,15,41.65313
0.460416,4,41.726446
0.497362,4,41.799922
-0.5,1,41.863048
-0.165261,2,41.928556
-0.5,1,41.99435
0.195182,3,42.065902
-0.164046,2,42.133327
0.448241,4,42.208015
-0.5,1,42.272077
0.502357,4,42.343972
0.165059,3,42.414416
-0.161043,2,42.48203
-0.5,1,42.54766
-0.5,1,42.612772
0.109482,3,42.683351
1.557364,7,42.764586
-0.213256,2,42.834042
1.236812,6,42.916861
0.179044,3,42.993201
-0.5,1,43.060218
2.521216,10,43.151405
2.466697,10,43.241602
0.791813,5,43.318188
2.16786,9,43.404814
0.375488,4,43.479203
0.089561,3,43.550668
-0.5,1,43.61795
4.188252,15,43.723544
-0.5,1,43.788471
0.131207,3,43.859029
-0.5,1,43.92344
-0.193664,2,43.991943
0.738875,5,44.068483
-0.196366,2,44.135131
-0.5,1,44.201128
-0.5,1,44.266203
-0.158374,2,44.333895
6.68555,22,44.460599
-0.301558,2,44.530289
0.131588,3,44.599773
1.010955,6,44.678586
-0.5,1,44.742788
-0.150857,2,44.812113
1.077241,6,44.892821
0.638924,5,44.968623
-0.187807,2,45.035687
-0.5,1,45.100726
0.853147,5,45.177128
-0.5,1,45.240501
2.251506,9,45.327968
0.359879,4,45.402035
-0.5,1,45.46677
-0.222305,2,45.534542
-0.164732,2,45.602589
0.459771,4,45.676052
1.694314,8,45.76197
-0.5,1,45.826375
-0.5,1,45.890786
1.775135,8,45.975788
-0.5,1,46.040515
3.090506,12,46.137375
0.909781,5,46.21439
0.523978,4,46.288
-0.196823,2,46.354149
0.878091,5,46.431272
-0.163842,2,46.499767
-0.159057,2,46.569636
1.925197,8,46.656095
0.091552,4,46.730965
0.461389,4,46.806809
-0.17818,2,46.874988
2.5848,10,46.965492
0.424662,4,47.03903
-0.5,1,47.103366
0.147267,3,47.172705
-0.171516,2,47.239369
-0.5,1,47.303204
-0.5,1,47.368337
-0.5,1,47.433331
-0.174045,2,47.501795
1.176184,6,47.581244
-0.5,1,47.64546
0.521884,4,47.719627
3.433135,13,47.817199
-0.158373,2,47.889325
0.495659,4,47.962869
2.517458,10,48.05157
-0.5,1,48.120114
-0.156906,2,48.191001
1.190449,6,48.271358
0.09474,3,48.343193
-0.5,1,48.408308
-0.5,1,48.475086
-0.5,1,48.541355
-0.212455,2,48.609769
-0.186492,2,48.724032
0.166807,3,48.794884
2.383431,10,48.885364
-0.5,1,48.95181
-0.5,1,49.020568
-0.5,1,49.088053
0.567497,4,49.163718
1.923097,8,49.249236
-0.128873,2,49.317449
0.545018,4,49.393098
3.213818,12,49.489863
0.466989,4,49.564753
-0.160682,2,49.633953
-0.17326,2,49.70292
0.162873,3,49.774211
-0.20454,2,49.842616
0.440576,4,49.917502
1.862704,8,50.003158
0.479219,4,50.077891
-0.5,1,50.143436
-0.5,1,50.210234
1.10761,6,50.289893
0.53418,4,50.366575
-0.5,1,50.433851
0.127574,3,50.506181
1.665854,8,50.591454
-0.155681,2,50.660262
0.678077,5,50.738975
-0.5,1,50.804018
-0.149688,2,50.874304
0.436062,4,50.947956
-0.183407,2,51.017194
0.041252,3,51.089651
-0.263673,2,51.15975
0.095786,3,51.230976
-0.169759,2,51.300639
-0.168164,2,51.375496
-0.185058,2,51.444071
-0.5,1,51.509913
0.111132,3,51.581189
0.762824,5,51.659272
1.037175,6,51.743753
0.688029,5,51.820431
1.306984,7,51.90227
-0.149015,2,51.97147
0.486261,4,52.044838
0.322909,4,52.118033
-0.5,1,52.183725
0.160149,3,52.256862
-0.21158,2,52.326979
1.57268,8,52.413462
-0.204907,2,52.481394
0.547783,4,52.556517
0.459069,4,52.62899
-0.5,1,52.699095
0.179224,3,52.771398
-0.5,1,52.836348
1.085262,6,52.916745
-0.5,1,52.982497
-0.5,1,53.04822
-0.210094,2,53.116977
1.896509,9,53.207192
-0.17559,2,53.274297
-0.5,1,53.339766
3.596914,13,53.439848
4.350093,16,53.55546
0.514368,5,53.636125
0.486359,4,53.710439
-0.5,1,53.774924
2.375959,9,53.862048
-0.5,1,53.926221
0.443101,4,54.000158
-0.5,1,54.063905
1.335618,7,54.146179
-0.149782,2,54.214275
-0.142535,2,54.283621
2.869377,11,54.379049
-0.149869,2,54.447261
1.082517,6,54.527185
1.056651,6,54.607267
-0.5,1,54.672246
1.161703,6,54.751077
-0.199381,2,54.818124
-0.5,1,54.884301
1.150698,6,54.964215
0.430774,4,55.038026
0.856389,5,55.115346
0.44677,4,55.189403
-0.5,1,55.25464
0.165014,3,55.325631
-0.5,1,55.388609
-0.193658,2,55.455527
-0.140902,2,55.528166
-0.208994,2,55.596179
-0.5,1,55.661833
0.819394,5,55.740392
-0.5,1,55.80659
0.539598,4,55.882512
-0.184233,2,55.949702
-0.18517,2,56.019357
-0.160444,2,56.086173
0.082298,3,56.157243
1.345566,7,56.239446
3.519641,13,56.339867
0.752627,5,56.417749
0.835634,5,56.495626
-0.188346,2,56.564433
5.131016,17,56.676134
-0.146783,2,56.744964
-0.171456,2,56.8131
1.643049,7,56.896028
0.880022,5,56.972787
-0.5,1,57.037958
0.833766,5,57.115087
0.744994,5,57.191358
-0.5,1,57.25665
-0.168935,2,57.324582
-0.5,1,57.39017
-0.5,1,57.454345
0.85189,5,57.531804
0.372438,4,57.607286
1.544422,7,57.689028
-0.187087,2,57.757406
-0.5,1,57.822791
-0.5,1,57.887369
0.395893,4,57.960677
0.452801,4,58.033394
3.703911,13,58.132651
-0.5,1,58.1962
-0.5,1,58.260998
-0.196202,2,58.327612
0.975,5,58.405113
0.104319,3,58.47538
-0.5,1,58.541274
0.162007,3,58.612685
-0.5,1,58.677177
-0.5,1,58.742382
-0.086256,3,58.81559
1.205318,6,58.898323
0.459187,4,58.973413
-0.161832,2,59.041357
1.128676,6,59.129431
-0.5,1,59.198143
-0.165623,2,59.269122
-0.171736,2,59.336511
-0.5,1,59.402415
-0.153157,2,59.470202
-0.5,1,59.534867
-0.5,1,59.601263
-0.5,1,59.665779
0.641977,5,59.741661
-0.159674,2,59.8105
-0.5,1,59.87652
1.454317,7,59.96
-0.179994,2,60.028674
0.772816,5,60.10601
-0.160519,2,60.174277
0.482764,4,60.247461
0.753682,5,61.12092
0.10716,3,61.197132
4.771125,17,61.31333
-0.188731,2,61.382716
-0.5,1,61.448355
1.728632,8,61.532934
1.782676,8,61.616291
0.571522,4,61.698188
0.118353,3,61.776047
0.090385,3,61.850116
-0.5,1,61.916859
0.112361,3,61.995473
-0.5,1,62.063827
1.515336,7,62.146261
-0.174581,2,62.21667
3.228323,13,62.315808
0.866043,5,62.393511
-0.5,1,62.457761
-0.173499,2,62.52645
-0.152387,2,62.596423
0.766042,5,62.675343
3.389365,13,62.776175
-0.15183,2,62.845683
0.115399,3,62.917075
0.483797,4,62.990998
0.400506,4,63.064223
0.961535,5,63.142179
-0.150356,2,63.212892
-0.174249,2,63.282528
4.666726,15,63.388269
0.074616,3,63.462558
0.406181,5,63.541731
0.521796,4,63.616892
-0.5,1,63.687
2.401839,10,63.781582
1.727947,8,63.867294
1.125982,6,63.948005
0.149334,3,64.020131
-0.215046,2,64.088241
2.075358,9,64.178942
0.514963,4,64.26495
6.968482,23,64.397785
0.448799,4,64.472875
1.413661,7,64.556393
6.248891,21,64.682427
0.094628,3,64.80996
4.558092,15,64.920567
